post_id,platform,post_type,post_date,post_month,post_day,post_time,Hour,time_category,likes,comments,shares,sentiment_score,total_engagement,engagement_rate
1,Facebook,Image,8/17/2023,August,Thursday,2:45:00 PM,14,Afternoon,2121,474,628,Positive,3223,0.50
2,Facebook,Carousel,5/14/2023,May,Sunday,12:45:00 AM,0,Night,3660,432,694,Neutral,4786,0.75
3,Instagram,Poll,2/21/2023,February,Tuesday,4:15:00 PM,16,Afternoon,4955,408,688,Negative,6051,0.94
4,Twitter,Image,11/16/2023,November,Thursday,12:45:00 AM,0,Night,1183,90,187,Negative,1460,0.23
5,Twitter,Video,5/23/2023,May,Tuesday,12:30:00 AM,0,Night,3499,247,286,Positive,4032,0.63
6,Instagram,Carousel,5/5/2023,May,Friday,8:00:00 PM,20,Evening,256,186,211,Neutral,653,0.10
7,Instagram,Image,2/26/2023,February,Sunday,11:45:00 AM,11,Morning,1982,30,906,Positive,2918,0.46
8,Instagram,Text,10/28/2023,October,Saturday,7:30:00 PM,19,Evening,1274,45,216,Neutral,1535,0.24
9,Facebook,Video,5/2/2023,May,Tuesday,6:15:00 AM,6,Morning,317,249,221,Neutral,787,0.12
10,Twitter,Carousel,5/11/2023,May,Thursday,11:00:00 AM,11,Morning,1878,225,438,Neutral,2541,0.40
11,Twitter,Text,12/8/2023,December,Friday,2:15:00 AM,2,Night,1446,44,52,Negative,1542,0.24
12,Twitter,Video,6/15/2023,June,Thursday,3:15:00 AM,3,Night,304,42,89,Positive,435,0.07
13,Facebook,Carousel,11/11/2023,November,Saturday,3:45:00 PM,15,Afternoon,45,78,375,Negative,498,0.08
14,Twitter,Text,9/30/2023,September,Saturday,10:30:00 AM,10,Morning,1333,144,123,Positive,1600,0.25
15,Facebook,Carousel,1/9/2023,January,Monday,8:00:00 PM,20,Evening,889,314,262,Positive,1465,0.23
16,Twitter,Image,2/10/2023,February,Friday,1:00:00 PM,13,Afternoon,2348,154,18,Neutral,2520,0.39
17,Instagram,Poll,7/5/2023,July,Wednesday,5:15:00 AM,5,Night,2872,10,736,Positive,3618,0.56
18,Twitter,Text,7/23/2023,July,Sunday,5:45:00 AM,5,Night,512,123,338,Neutral,973,0.15
19,Twitter,Text,11/20/2023,November,Monday,2:00:00 AM,2,Night,2013,122,183,Positive,2318,0.36
20,Facebook,Image,2/2/2023,February,Thursday,4:00:00 PM,16,Afternoon,455,86,79,Positive,620,0.10
21,Twitter,Poll,5/2/2023,May,Tuesday,6:15:00 AM,6,Morning,559,136,55,Neutral,750,0.12
22,Twitter,Carousel,1/30/2023,January,Monday,1:30:00 PM,13,Afternoon,1961,44,439,Positive,2444,0.38
23,Twitter,Text,10/2/2023,October,Monday,12:15:00 PM,12,Afternoon,332,109,348,Positive,789,0.12
24,Instagram,Carousel,1/1/2023,January,Sunday,8:00:00 PM,20,Evening,5000,80,399,Positive,5479,0.85
25,Twitter,Poll,5/17/2023,May,Wednesday,12:15:00 AM,0,Night,898,130,480,Positive,1508,0.24
26,Facebook,Carousel,10/5/2023,October,Thursday,6:30:00 AM,6,Morning,1992,70,515,Negative,2577,0.40
